Player,Total Score,Batting Score,Bowling Score,Runs Scored,Wickets Taken,Balls Faced,Batting SR,Batting AVG,Runs Score,Batting AVG Score,Batting SR Score,Wickets Score,Runs Conceded,Balls Bowled,Bowling AVG,Bowling AVG Score,Bowling SR,Bowling SR Score
MG Bracewell,2.1607096018110177,2.175,2.1464192036220355,14.0,1.0,20.0,70.0,4.666666666666667,1.1333333333333333,0.6666666666666667,0.375,1.0,58.0,50.0,58.0,0.5802501895375284,50.0,0.566169014084507
Abrar Ahmed,2.160423361070868,2.146428571428572,2.174418150713165,6.0,1.0,7.0,85.71428571428571,6.0,1.0571428571428572,0.7142857142857143,0.375,1.0,59.0,43.0,59.0,0.5775298441294766,43.0,0.5968883065836882
D Brevis,2.158242798867799,4.316485597735598,0.0,85.0,,64.0,132.8125,21.25,1.809523809523809,1.2589285714285714,1.2480332167832169,,,,,,,
Ali Sheikh,2.099192474192474,4.198384948384948,0.0,15.0,,9.0,166.66666666666669,15.0,1.1428571428571428,1.0357142857142856,2.0198135198135203,,,,,,,
GSNFG Jayasuriya,2.077874130586395,4.15574826117279,0.0,111.0,,106.0,104.71698113207547,27.75,2.057142857142857,1.4910714285714286,0.6075339754585042,,,,,,,
MD Patel,2.045570096570097,4.091140193140194,0.0,133.0,,125.0,106.4,19.0,2.2666666666666666,1.1785714285714286,0.6459020979020981,,,,,,,
Saif Badar,2.0390276390276387,4.0780552780552775,0.0,64.0,,56.0,114.28571428571428,32.0,1.6095238095238096,1.6428571428571428,0.8256743256743255,,,,,,,
CAH Stevenson,2.0062657039929768,4.0125314079859535,0.0,17.0,,11.0,154.54545454545453,17.0,1.161904761904762,1.1071428571428572,1.743483788938334,,,,,,,
J Tromp,1.9997624738131063,3.999524947626213,0.0,94.0,,79.0,118.9873417721519,18.8,1.8952380952380952,1.1714285714285717,0.9328582809595468,,,,,,,
OEG Baartman,1.995285304848757,0.0,3.990570609697515,,4.0,,,,,,,1.8571428571428568,61.0,52.0,15.25,1.0301774816987532,13.0,1.1032502708559049
Naveen-ul-Haq,1.9928571428571424,1.985714285714285,2.0,6.0,1.0,7.0,85.71428571428571,1.5,1.0571428571428572,0.5535714285714286,0.375,1.0,116.0,77.0,116.0,0.5,77.0,0.5
H Klaasen,1.94286080385478,3.88572160770956,0.0,97.0,,83.0,116.86746987951808,16.166666666666668,1.923809523809524,1.0773809523809526,0.8845311315190836,,,,,,,
JG Dill,1.9199238639553893,0.0,3.839847727910779,,4.0,,,,,,,1.8571428571428568,81.0,52.0,20.25,0.879454599912017,13.0,1.1032502708559049
